date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2025-01-11,PFE,112,26.7,2992.64,3.0167,0.0,Risk Assets,1,false
2025-01-11,TSLA,7,381.48,2763.18,2.7854,0.0,Risk Assets,1,false
2025-01-11,SOL,14,208.1,2632.42,2.6535,0.0,Unknown,1,false
2025-01-11,RKLB,120,25.02,3229.2,3.2551,0.0,Risk Assets,1,false
2025-01-11,CSCO,50,58.84,2937.0,2.9606,0.0,Risk Assets,1,false
2025-01-11,COST,3,914.33,2810.82,2.8334,0.0,Risk Assets,1,false
2025-01-11,NOW,2,1059.3,2049.14,2.0656,0.0,Risk Assets,1,false
2025-01-11,CRM,9,332.1,2860.65,2.8836,0.0,Unknown,1,false
2025-01-11,CRWD,8,349.23,2790.72,2.8131,0.0,Risk Assets,1,false
2025-01-11,NVDA,21,140.01,2854.11,2.877,0.0,Risk Assets,1,false
2025-01-11,AMT,16,181.25,2775.36,2.7976,0.0,Risk Assets,1,false
2025-01-11,XLY,22,222.64,4858.04,4.897,0.0,Cyclicals,1,false
2025-01-11,WMT,33,90.15,3069.0,3.0936,0.0,Risk Assets,1,false
2025-01-11,MSFT,7,421.08,2932.65,2.9562,0.0,Risk Assets,1,false
2025-01-11,CME,12,231.64,2750.4,2.7725,0.0,Risk Assets,1,false
2025-01-11,COP,29,100.62,2955.68,2.9794,0.0,Risk Assets,1,false
2025-01-11,KO,48,61.9,2931.36,2.9549,0.0,Risk Assets,1,false
2025-01-11,APH,43,69.45,3018.6,3.0428,0.0,Risk Assets,1,false
2025-01-11,JPM,12,243.89,2878.44,2.9015,0.0,Risk Assets,1,false
2025-01-11,MA,5,522.53,2523.35,2.5436,0.0,Risk Assets,1,false
2025-01-11,AVGO,12,233.59,2691.72,2.7133,0.0,Risk Assets,1,false
2025-01-11,ANET,26,112.48,2972.84,2.9967,0.0,Risk Assets,1,false
2025-01-11,LOW,12,248.12,2974.8,2.9987,0.0,Risk Assets,1,false
2025-01-11,GOOG,15,192.72,2897.55,2.9208,0.0,Risk Assets,1,false
2025-01-11,XRP,1249,2.4,3217.42,3.2432,0.0,Unknown,1,false
2025-01-11,AMZN,13,222.5,2846.22,2.8691,0.0,Risk Assets,1,false
2025-01-11,NFLX,3,893.13,2513.07,2.5332,0.0,Risk Assets,1,false
2025-01-11,HON,13,225.98,2836.47,2.8592,0.0,Risk Assets,1,false
2025-01-11,BA,17,171.4,2924.0,2.9475,0.0,Risk Assets,1,false
